"NOMBRE_SLEP","DOC_GENERO","n","prop"
"Andalién Sur","1",3246,0.245314389359129
"Andalién Sur","2",9986,0.754685610640871
"Barrancas","1",3274,0.27708192281652
"Barrancas","2",8542,0.72291807718348
"Chinchorro","1",4072,0.350309704060564
"Chinchorro","2",7552,0.649690295939436
"Costa Araucanía","1",2209,0.326678497485951
"Costa Araucanía","2",4553,0.673321502514049
"Gabriela Mistral","1",2130,0.255640902544407
"Gabriela Mistral","2",6202,0.744359097455593
"Huasco","1",2133,0.289259560618389
"Huasco","2",5241,0.710740439381611
"Puerto Cordillera","1",2817,0.320842824601367
"Puerto Cordillera","2",5963,0.679157175398633
